inventoryID,name,cost,inventoryNum,useAverage
1,Cup (16oz),2.72,900,3
2,Cup Lid,3.84,1068,2
3,Straw,2.78,1972,4
4,Black Tea Leaves,3.6,1089,3
5,Green Tea Leaves,1.39,1862,1
6,Oolong Tea Leaves,3.73,1099,2
7,Milk,4.26,1837,5
8,Almond Milk,2.08,1809,3
9,Oat Milk,4.74,1406,5
10,Tapioca Pearls (Boba),4.04,1967,5
11,Brown Sugar Syrup,0.93,1369,2
12,Honey,3.52,1761,3
13,Simple Syrup,4.38,595,1
14,Taro Powder,2.83,1159,2
15,Matcha Powder,0.59,1725,4
16,Thai Tea Mix,2.71,747,1
17,Wintermelon Syrup,4.31,1768,2
18,Passionfruit Syrup,3.03,988,4
19,Lychee Syrup,3.17,823,3
20,Peach Syrup,3.47,1404,3
21,Mango Syrup,3.25,1687,3
22,Strawberry Syrup,1.25,950,5
23,Guava Syrup,3.36,1503,5
24,Pineapple Syrup,3.77,842,3
25,Red Bean,2.36,1365,5
