ID,inventoryID,menuID,itemQuantity
1,1,1,3
2,2,1,2
3,3,1,1
4,4,1,3
5,7,1,3
6,10,1,1
7,1,2,3
8,2,2,1
9,3,2,1
10,4,2,3
11,7,2,2
12,10,2,3
13,14,2,3
14,1,3,2
15,2,3,2
16,3,3,3
17,4,3,2
18,7,3,1
19,10,3,1
20,15,3,2
21,1,4,2
22,2,4,2
23,3,4,2
24,4,4,3
25,7,4,2
26,10,4,3
27,16,4,2
28,1,5,1
29,2,5,1
30,3,5,3
31,4,5,2
32,7,5,2
33,10,5,1
34,12,5,2
35,1,6,3
36,2,6,1
37,3,6,2
38,4,6,1
39,7,6,2
40,10,6,1
41,11,6,3
42,1,7,1
43,2,7,3
44,3,7,2
45,4,7,1
46,7,7,3
47,10,7,1
48,22,7,2
49,1,8,2
50,2,8,3
51,3,8,2
52,4,8,3
53,7,8,2
54,10,8,2
55,21,8,1
56,1,9,2
57,2,9,1
58,3,9,3
59,6,9,1
60,7,9,3
61,10,9,1
62,1,10,3
63,2,10,1
64,3,10,2
65,4,10,3
66,17,10,1
67,1,11,2
68,2,11,1
69,3,11,3
70,4,11,3
71,18,11,2
72,1,12,2
73,2,12,1
74,3,12,2
75,4,12,2
76,19,12,1
77,1,13,3
78,2,13,3
79,3,13,2
80,5,13,2
81,20,13,3
82,1,14,1
83,2,14,3
84,3,14,2
85,4,14,3
86,7,14,1
87,10,14,3
88,1,15,1
89,2,15,3
90,3,15,1
91,4,15,3
92,7,15,2
93,10,15,2
94,1,16,2
95,2,16,2
96,3,16,3
97,4,16,2
98,7,16,1
99,10,16,1
100,1,17,1
101,2,17,2
102,3,17,2
103,4,17,2
104,7,17,1
105,10,17,2
106,25,17,1
107,1,18,3
108,2,18,2
109,3,18,1
110,4,18,2
111,24,18,1
112,1,19,1
113,2,19,1
114,3,19,1
115,5,19,2
116,23,19,1
117,1,20,1
118,2,20,3
119,3,20,1
120,4,20,1
121,7,20,3
122,10,20,3
