orderID,customerName,costTotal,employeeID,orderDateTime
1,Customer_1,14.36,3,2025-01-01 14:27:00
2,Customer_2,25.64,1,2025-01-01 18:48:00
3,Customer_3,25.3,8,2025-01-01 16:20:00
4,Customer_4,15.3,4,2025-01-01 17:03:00
5,Customer_5,24.02,5,2025-01-01 16:21:00
6,Customer_6,11.76,8,2025-01-01 10:37:00
7,Customer_7,20.54,3,2025-01-01 11:11:00
8,Customer_8,37.1,2,2025-01-01 17:42:00
9,Customer_9,9.82,8,2025-01-01 21:09:00
10,Customer_10,16.65,3,2025-01-01 16:52:00
11,Customer_11,25.38,5,2025-01-01 19:03:00
12,Customer_12,35.16,1,2025-01-01 14:01:00
13,Customer_13,18.61,4,2025-01-01 15:37:00
14,Customer_14,7.13,5,2025-01-01 10:24:00
15,Customer_15,38.5,4,2025-01-01 14:49:00
16,Customer_16,26.36,4,2025-01-01 13:05:00
17,Customer_17,5.56,8,2025-01-01 19:07:00
18,Customer_18,17.89,2,2025-01-01 21:08:00
19,Customer_19,17.8,6,2025-01-01 21:10:00
20,Customer_20,12.14,4,2025-01-01 19:00:00
21,Customer_21,4.73,5,2025-01-01 18:34:00
22,Customer_22,10.83,5,2025-01-01 14:24:00
23,Customer_23,29.85,6,2025-01-01 13:57:00
24,Customer_24,29.08,8,2025-01-01 21:43:00
25,Customer_25,6.32,5,2025-01-01 12:12:00
26,Customer_26,15.71,6,2025-01-01 13:24:00
27,Customer_27,22.82,1,2025-01-01 10:44:00
28,Customer_28,6.32,3,2025-01-01 10:27:00
29,Customer_29,21.91,8,2025-01-01 11:38:00
30,Customer_30,27.52,4,2025-01-01 14:47:00
31,Customer_31,5.67,7,2025-01-01 11:26:00
32,Customer_32,26.37,3,2025-01-01 17:54:00
33,Customer_33,13.46,3,2025-01-01 13:31:00
34,Customer_34,23.26,3,2025-01-01 14:55:00
35,Customer_35,6.86,3,2025-01-01 12:00:00
36,Customer_36,11.76,4,2025-01-01 20:46:00
37,Customer_37,20.52,6,2025-01-01 21:55:00
38,Customer_38,30.94,4,2025-01-01 16:53:00
39,Customer_39,12.18,4,2025-01-01 19:40:00
40,Customer_40,18.93,1,2025-01-01 17:51:00
41,Customer_41,5.16,2,2025-01-01 11:02:00
42,Customer_42,12.54,7,2025-01-01 14:42:00
43,Customer_43,26.02,5,2025-01-01 12:11:00
